Country,Region,Birth_Attendance_Rate,Year
Albania,Europe,100.00,2022
Lithuania,Europe,100.00,2022
Oman,"Eastern Mediterranean",100.00,2022
Albania,Europe,100.00,2021
Lithuania,Europe,100.00,2021
"North Macedonia",Europe,100.00,2021
Oman,"Eastern Mediterranean",100.00,2021
Qatar,"Eastern Mediterranean",100.00,2021
"South Korea","Western Pacific",100.00,2021
"Saint Lucia",Americas,100.00,2021
Suriname,Americas,100.00,2021
"United Arab Emirates","Eastern Mediterranean",100.00,2021
Uruguay,Americas,100.00,2021
Albania,Europe,100.00,2020
Grenada,Americas,100.00,2020
Kyrgyzstan,Europe,100.00,2020
Lithuania,Europe,100.00,2020
"North Macedonia",Europe,100.00,2020
Oman,"Eastern Mediterranean",100.00,2020
Qatar,"Eastern Mediterranean",100.00,2020
"Saint Lucia",Americas,100.00,2020
"United Arab Emirates","Eastern Mediterranean",100.00,2020
Uruguay,Americas,100.00,2020
Uzbekistan,Europe,100.00,2020
Jordan,"Eastern Mediterranean",99.90,2023
Azerbaijan,Europe,99.90,2022
Belarus,Europe,99.90,2022
Greece,Europe,99.90,2022
Spain,Europe,99.90,2022
"United Arab Emirates","Eastern Mediterranean",99.90,2022
Azerbaijan,Europe,99.90,2021
Belarus,Europe,99.90,2021
"Bosnia and Herzegovina",Europe,99.90,2021
Cyprus,Europe,99.90,2021
Greece,Europe,99.90,2021
Kuwait,"Eastern Mediterranean",99.90,2021
Spain,Europe,99.90,2021
Turkmenistan,Europe,99.90,2021
Azerbaijan,Europe,99.90,2020
Belarus,Europe,99.90,2020
"Bosnia and Herzegovina",Europe,99.90,2020
Cyprus,Europe,99.90,2020
Greece,Europe,99.90,2020
Japan,"Western Pacific",99.90,2020
Kuwait,"Eastern Mediterranean",99.90,2020
Spain,Europe,99.90,2020
Malta,Europe,99.89,2020
"Saudi Arabia","Eastern Mediterranean",99.80,2023
Japan,"Western Pacific",99.80,2022
Malaysia,"Western Pacific",99.80,2022
Malta,Europe,99.80,2022
Seychelles,Africa,99.80,2022
Botswana,Africa,99.80,2021
Fiji,"Western Pacific",99.80,2021
Georgia,Europe,99.80,2021
Jamaica,Americas,99.80,2021
Japan,"Western Pacific",99.80,2021
Malta,Europe,99.80,2021
Botswana,Africa,99.80,2020
Chile,Americas,99.80,2020
Georgia,Europe,99.80,2020
Italy,Europe,99.80,2020
Jamaica,Americas,99.80,2020
Georgia,Europe,99.70,2022
Moldova,Europe,99.70,2022
Russia,Europe,99.70,2022
Turkmenistan,Europe,99.70,2022
Mauritius,Africa,99.70,2021
Russia,Europe,99.70,2021
Brunei,"Western Pacific",99.70,2020
Mauritius,Africa,99.70,2020
Poland,Europe,99.70,2020
Palestine,"Eastern Mediterranean",99.70,2020
Poland,Europe,99.60,2022
Thailand,"South-East Asia",99.60,2022
Brunei,"Western Pacific",99.60,2021
Malaysia,"Western Pacific",99.60,2021
Poland,Europe,99.60,2021
Moldova,Europe,99.60,2021
Singapore,"Western Pacific",99.60,2021
Estonia,Europe,99.60,2020
Finland,Europe,99.60,2020
Ireland,Europe,99.60,2020
Moldova,Europe,99.60,2020
Russia,Europe,99.60,2020
Singapore,"Western Pacific",99.60,2020
Singapore,"Western Pacific",99.50,2022
Finland,Europe,99.50,2021
Seychelles,Africa,99.50,2020
Italy,Europe,99.40,2021
Bhutan,"South-East Asia",99.30,2020
"El Salvador",Americas,99.30,2020
Kuwait,"Eastern Mediterranean",99.20,2022
Norway,Europe,99.20,2021
"Costa Rica",Americas,99.20,2020
Norway,Europe,99.20,2020
"United States of America",Americas,99.13,2020
Estonia,Europe,99.10,2022
Norway,Europe,99.10,2022
Iran,"Eastern Mediterranean",99.00,2023
Uzbekistan,Europe,99.00,2022
Estonia,Europe,99.00,2021
"Saint Vincent and the Grenadines",Americas,99.00,2021
Seychelles,Africa,99.00,2021
"Antigua and Barbuda",Americas,99.00,2020
Bahamas,Americas,99.00,2020
Bhutan,"South-East Asia",98.90,2021
"Costa Rica",Americas,98.80,2021
Australia,"Western Pacific",98.80,2020
Argentina,Americas,98.80,2020
Cambodia,"Western Pacific",98.70,2022
Australia,"Western Pacific",98.70,2021
"United States of America",Americas,98.60,2021
Portugal,Europe,98.60,2020
Barbados,Americas,98.40,2020
Brazil,Americas,98.40,2020
Brazil,Americas,98.20,2021
Bahrain,"Eastern Mediterranean",98.20,2020
France,Europe,98.20,2020
Slovakia,Europe,98.20,2020
Austria,Europe,98.10,2022
Latvia,Europe,98.10,2022
Slovakia,Europe,98.10,2022
"El Salvador",Americas,98.10,2021
Latvia,Europe,98.10,2021
Austria,Europe,98.10,2020
Latvia,Europe,98.10,2020
"Saint Vincent and the Grenadines",Americas,98.10,2020
Austria,Europe,98.00,2021
Slovakia,Europe,98.00,2021
Colombia,Americas,97.80,2020
Canada,Americas,97.70,2020
