country,Doctors_per_10k,Nurses_per_10k,Total_Healthcare_Workers_per_10k,Maternal_Mortality_Rate,Data_Year
Finland,43.81,521.64,565.45,8.34,2020
Norway,51.68,188.93,240.61,1.66,2020
Iceland,45.24,159.53,204.77,2.65,2020
Ireland,40.62,143.37,183.99,4.98,2020
Australia,39.81,137.08,176.89,2.94,2020
Germany,45.18,123.01,168.19,4.43,2020
Austria,55.08,109.28,164.36,5.23,2020
"United States of America",36.08,118.76,154.84,21.08,2020
"New Zealand",35.74,117.40,153.14,7.03,2020
Luxembourg,29.85,120.85,150.70,6.49,2020
Japan,26.14,124.54,150.68,4.31,2020
Belarus,44.70,105.23,149.93,1.10,2020
Lithuania,51.27,94.67,145.94,8.66,2020
Slovenia,33.26,105.92,139.18,4.53,2020
"Czech Republic",42.54,93.56,136.10,3.37,2020
Portugal,57.67,77.89,135.56,11.80,2020
Paraguay,38.82,93.81,132.63,71.12,2020
Canada,24.97,103.10,128.07,11.01,2020
Malta,42.76,85.08,127.84,2.89,2020
France,33.43,93.78,127.21,7.91,2020
"Antigua and Barbuda",28.98,95.77,124.75,21.25,2020
Italy,42.48,77.10,119.58,4.59,2020
Uruguay,46.30,73.17,119.47,18.64,2020
Georgia,56.13,59.80,115.93,27.61,2020
Romania,34.71,80.73,115.44,10.07,2020
"South Korea",25.17,89.15,114.32,8.12,2020
Croatia,36.10,76.84,112.94,4.82,2020
Seychelles,38.19,72.74,110.93,3.33,2020
Spain,44.80,65.37,110.17,3.44,2020
Kazakhstan,40.28,69.39,109.67,13.38,2020
Denmark,1.87,106.37,108.24,4.66,2020
Greece,63.67,40.86,104.53,7.65,2020
Estonia,34.38,68.70,103.08,5.18,2020
Russia,38.27,62.42,100.69,13.72,2020
Qatar,24.99,72.36,97.35,7.61,2020
Poland,33.91,63.41,97.32,1.96,2020
Slovakia,36.80,60.43,97.23,4.82,2020
Ukraine,29.90,66.56,96.46,16.54,2020
Bulgaria,48.96,46.59,95.55,7.09,2020
Moldova,32.46,61.18,93.64,12.26,2020
"United Arab Emirates",29.12,63.85,92.97,9.34,2020
Libya,21.57,67.38,88.95,72.13,2020
Azerbaijan,30.93,57.19,88.12,40.76,2020
Hungary,32.98,55.06,88.04,15.05,2020
Singapore,25.96,61.82,87.78,7.45,2020
Serbia,28.37,59.33,87.70,10.18,2020
Montenegro,27.52,59.93,87.45,6.17,2020
"Bosnia and Herzegovina",23.18,63.96,87.14,5.67,2020
"Costa Rica",26.36,60.25,86.61,22.00,2020
Brunei,19.13,67.11,86.24,44.24,2020
"Saudi Arabia",30.77,55.09,85.86,16.20,2020
Uzbekistan,28.05,57.56,85.61,30.18,2020
Argentina,40.82,43.54,84.36,44.90,2020
"Saint Vincent and the Grenadines",9.44,73.41,82.85,61.79,2020
Cyprus,35.52,46.28,81.80,68.41,2020
Chile,31.70,49.68,81.38,15.03,2020
"North Korea",36.71,44.34,81.05,106.70,2020
Mongolia,38.74,42.22,80.96,39.49,2020
Armenia,31.17,48.26,79.43,27.19,2020
"Trinidad and Tobago",41.93,37.34,79.27,26.58,2020
Latvia,33.77,44.21,77.98,18.32,2020
"North Macedonia",29.64,48.32,77.96,3.04,2020
Albania,18.83,58.31,77.14,8.28,2020
Brazil,21.42,55.13,76.55,72.15,2020
Tajikistan,21.33,53.72,75.05,16.63,2020
Grenada,13.14,57.47,70.61,21.14,2020
Maldives,21.61,48.97,70.58,56.69,2020
Kuwait,22.93,45.87,68.80,7.17,2020
