country,maternal_mortality_rate
"South Sudan",6774.71
"South Sudan",6591.34
"South Sudan",6527.53
"South Sudan",6481.95
"South Sudan",4786.44
"South Sudan",4184.22
"South Sudan",4141.19
"South Sudan",4132.60
"South Sudan",4106.16
Rwanda,4105.52
"South Sudan",4022.69
"South Sudan",3837.63
"South Sudan",3291.78
"South Sudan",3279.17
"South Sudan",2028.50
Afghanistan,1910.34
"Sierra Leone",1792.35
"Sierra Leone",1784.01
"Sierra Leone",1768.28
"Sierra Leone",1764.32
"Sierra Leone",1749.90
"Sierra Leone",1743.60
Liberia,1723.49
"South Sudan",1686.56
"Sierra Leone",1682.45
"South Sudan",1672.63
Timor-Leste,1671.84
"South Sudan",1667.56
"Sierra Leone",1656.55
"South Sudan",1654.09
Guinea-Bissau,1651.92
Timor-Leste,1642.45
Guinea-Bissau,1637.76
Sudan,1634.44
Guinea-Bissau,1634.10
Liberia,1618.82
"Sierra Leone",1618.04
"Sierra Leone",1610.29
Afghanistan,1602.94
"Sierra Leone",1599.82
Afghanistan,1586.72
Rwanda,1585.97
Rwanda,1561.44
Guinea-Bissau,1558.59
Eritrea,1557.64
Liberia,1553.02
"Sierra Leone",1538.88
Rwanda,1534.70
Guinea-Bissau,1534.67
Burundi,1531.89
Burundi,1531.01
Timor-Leste,1526.86
Liberia,1525.38
Liberia,1524.36
Eritrea,1516.54
"Sierra Leone",1507.66
Burundi,1505.36
Burundi,1499.03
Guinea-Bissau,1492.84
"Sierra Leone",1492.67
Rwanda,1482.66
Timor-Leste,1477.33
"Sierra Leone",1476.93
Burundi,1465.84
Eritrea,1464.94
Afghanistan,1459.28
"Sierra Leone",1458.10
Chad,1456.79
Guinea-Bissau,1456.57
"Sierra Leone",1454.69
Afghanistan,1451.59
Guinea-Bissau,1451.20
"Sierra Leone",1450.59
Guinea-Bissau,1439.52
Liberia,1439.16
Liberia,1435.81
Rwanda,1435.10
"Sierra Leone",1427.53
Guinea-Bissau,1423.46
Chad,1420.00
Chad,1414.73
Afghanistan,1413.93
Eritrea,1413.48
Eritrea,1408.96
Guinea-Bissau,1406.74
Guinea-Bissau,1405.56
Burundi,1404.66
"South Sudan",1403.83
Guinea-Bissau,1401.27
Afghanistan,1400.84
Burundi,1399.49
Liberia,1395.92
Afghanistan,1392.79
Liberia,1392.12
Chad,1390.61
Chad,1388.12
Guinea-Bissau,1387.24
Afghanistan,1382.73
Chad,1382.33
Chad,1381.86
Chad,1380.60
Chad,1379.75
Burundi,1378.08
Afghanistan,1377.86
Afghanistan,1375.51
Afghanistan,1375.09
Chad,1373.44
"South Sudan",1372.29
Chad,1369.57
Afghanistan,1368.82
"Sierra Leone",1366.90
Chad,1365.51
Liberia,1365.37
Afghanistan,1365.29
Guinea-Bissau,1364.13
Afghanistan,1359.22
Chad,1356.21
Liberia,1351.29
Afghanistan,1346.14
Burundi,1343.28
Chad,1343.01
Liberia,1341.35
Mali,1341.18
Rwanda,1339.90
Chad,1339.80
Chad,1336.86
Chad,1336.09
"South Sudan",1331.87
Burundi,1327.54
"Sierra Leone",1327.37
Rwanda,1327.13
Eritrea,1318.93
Nigeria,1315.97
Chad,1311.31
Chad,1303.28
"Equatorial Guinea",1302.49
"South Sudan",1301.29
Burundi,1300.33
Guinea-Bissau,1300.16
Ethiopia,1297.30
Timor-Leste,1296.08
Chad,1290.78
"South Sudan",1287.91
Nigeria,1286.97
Timor-Leste,1286.01
Chad,1284.31
Nigeria,1283.02
Afghanistan,1277.31
Mali,1277.15
Timor-Leste,1276.33
"South Sudan",1274.82
Afghanistan,1273.43
Chad,1264.25
"Equatorial Guinea",1263.06
Nigeria,1261.20
Chad,1255.23
Chad,1254.62
"South Sudan",1251.63
Sudan,1250.50
Ethiopia,1245.93
"South Sudan",1245.17
Chad,1244.91
Chad,1241.21
Mozambique,1240.26
"Equatorial Guinea",1239.92
Guinea,1238.26
Chad,1236.75
Ethiopia,1236.31
Chad,1228.71
"Sierra Leone",1224.78
"South Sudan",1224.72
Nigeria,1223.38
"South Sudan",1222.53
Mali,1220.29
Nigeria,1219.53
Ethiopia,1218.80
Nigeria,1217.48
Chad,1217.45
Ethiopia,1214.47
Guinea,1213.01
Nigeria,1212.18
Nigeria,1209.23
Nigeria,1208.88
Rwanda,1207.24
Ethiopia,1205.00
Guinea-Bissau,1203.18
Gambia,1202.17
"Equatorial Guinea",1198.58
Afghanistan,1196.09
Burundi,1195.04
Guinea,1193.88
Nigeria,1189.85
Guinea,1189.18
"South Sudan",1187.23
Nigeria,1186.33
Guinea,1185.39
Eritrea,1184.32
Guinea,1181.38
Gambia,1181.12
Guinea,1179.96
"Equatorial Guinea",1178.83
Timor-Leste,1178.46
Nigeria,1177.45
Nigeria,1174.15
"South Sudan",1171.83
Nepal,1171.49
"DR Congo",1171.48
Nigeria,1170.97
Ethiopia,1168.71
"Equatorial Guinea",1167.38
Sudan,1165.52
Rwanda,1163.01
Mali,1158.92
Ethiopia,1151.38
Gambia,1148.70
Nigeria,1147.55
Rwanda,1145.72
Chad,1145.36
Nepal,1145.17
Angola,1144.28
Chad,1142.05
Mali,1141.86
Mozambique,1140.31
"South Sudan",1138.40
Guinea-Bissau,1136.32
Nigeria,1135.41
Nigeria,1135.28
Timor-Leste,1132.88
"South Sudan",1130.96
Nigeria,1129.18
Niger,1128.70
"Equatorial Guinea",1128.24
Timor-Leste,1127.94
Nigeria,1126.95
Nigeria,1126.91
Chad,1125.37
Sudan,1125.18
"Sierra Leone",1125.01
Nigeria,1122.67
Nigeria,1122.11
"South Sudan",1117.76
Ethiopia,1116.59
Afghanistan,1114.89
Nigeria,1113.40
Nigeria,1112.01
Gambia,1111.32
Nigeria,1108.98
"DR Congo",1104.56
Mozambique,1104.30
Guinea,1104.03
Afghanistan,1102.81
Angola,1101.51
Nigeria,1100.89
Sudan,1100.82
Burundi,1100.53
Guinea-Bissau,1100.19
Angola,1099.85
Niger,1099.49
Nigeria,1099.43
Angola,1097.97
Angola,1096.31
Lesotho,1096.16
Chad,1094.53
Timor-Leste,1092.89
Nigeria,1088.15
Nepal,1088.14
Nigeria,1087.43
Timor-Leste,1086.19
Angola,1084.06
Nigeria,1083.84
Ethiopia,1081.66
Nigeria,1080.52
Eritrea,1080.22
Chad,1076.16
Liberia,1074.05
Nigeria,1073.13
Nigeria,1070.87
Nigeria,1069.75
"Equatorial Guinea",1069.70
"South Sudan",1067.44
Gambia,1066.50
Mali,1064.65
Nepal,1063.73
Chad,1063.49
Angola,1062.22
"South Sudan",1061.88
"South Sudan",1059.82
Angola,1057.43
"DR Congo",1056.93
Timor-Leste,1055.28
"Equatorial Guinea",1053.63
Ethiopia,1051.62
Gambia,1050.67
Guinea,1049.53
Niger,1047.85
Chad,1047.30
Nigeria,1047.24
Afghanistan,1044.40
Rwanda,1041.88
Lesotho,1040.18
Lesotho,1037.98
Guinea,1032.76
Sudan,1032.45
Mozambique,1031.54
Guinea,1030.63
Eritrea,1024.48
Niger,1024.38
Afghanistan,1023.50
Angola,1022.62
Timor-Leste,1021.75
Timor-Leste,1018.78
Ethiopia,1017.63
Angola,1015.04
Angola,1014.13
Guinea-Bissau,1007.83
Rwanda,1006.52
