Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Afghanistan,2.54,14.30,644.27
Afghanistan,2.54,34.30,644.27
Afghanistan,2.54,67.50,644.27
Afghanistan,2.54,61.80,644.27
Afghanistan,2.54,58.80,644.27
Afghanistan,2.54,53.40,644.27
Afghanistan,2.54,50.50,644.27
Afghanistan,2.54,45.20,644.27
Afghanistan,2.54,39.90,644.27
Afghanistan,2.54,38.60,644.27
Afghanistan,2.54,14.30,620.41
Afghanistan,2.54,34.30,620.41
Afghanistan,2.54,38.60,620.41
Afghanistan,2.54,39.90,620.41
Afghanistan,2.54,45.20,620.41
Afghanistan,2.54,50.50,620.41
Afghanistan,2.54,53.40,620.41
Afghanistan,2.54,58.80,620.41
Afghanistan,2.54,61.80,620.41
Afghanistan,2.54,67.50,620.41
Afghanistan,2.54,45.20,775.69
Afghanistan,2.54,14.30,749.82
Afghanistan,2.54,34.30,749.82
Afghanistan,2.54,38.60,749.82
Afghanistan,2.54,39.90,749.82
Afghanistan,2.54,45.20,749.82
Afghanistan,2.54,50.50,749.82
Afghanistan,2.54,53.40,749.82
Afghanistan,2.54,58.80,749.82
Afghanistan,2.54,61.80,749.82
Afghanistan,2.54,67.50,749.82
Afghanistan,2.54,14.30,775.69
Afghanistan,2.54,34.30,775.69
Afghanistan,2.54,38.60,775.69
Afghanistan,2.54,39.90,775.69
Afghanistan,2.54,50.50,775.69
Afghanistan,2.54,53.40,775.69
Afghanistan,2.54,58.80,775.69
Afghanistan,2.54,61.80,775.69
Afghanistan,2.54,67.50,775.69
Afghanistan,2.54,14.30,883.71
Afghanistan,2.54,34.30,883.71
Afghanistan,2.54,38.60,883.71
Afghanistan,2.54,39.90,883.71
Afghanistan,2.54,45.20,883.71
Afghanistan,2.54,50.50,883.71
Afghanistan,2.54,53.40,883.71
Afghanistan,2.54,58.80,883.71
Afghanistan,2.54,61.80,883.71
Afghanistan,2.54,67.50,883.71
Afghanistan,2.54,67.50,898.67
Afghanistan,2.54,61.80,898.67
Afghanistan,2.54,58.80,898.67
Afghanistan,2.54,53.40,898.67
Afghanistan,2.54,50.50,898.67
Afghanistan,2.54,45.20,898.67
Afghanistan,2.54,39.90,898.67
Afghanistan,2.54,38.60,898.67
Afghanistan,2.54,34.30,898.67
Afghanistan,2.54,14.30,898.67
Afghanistan,2.54,14.30,785.35
Afghanistan,2.54,34.30,785.35
Afghanistan,2.54,38.60,785.35
Afghanistan,2.54,39.90,785.35
Afghanistan,2.54,45.20,785.35
Afghanistan,2.54,50.50,785.35
Afghanistan,2.54,53.40,785.35
Afghanistan,2.54,58.80,785.35
Afghanistan,2.54,61.80,785.35
Afghanistan,2.54,67.50,785.35
Afghanistan,2.54,45.20,663.43
Afghanistan,2.54,67.50,681.81
Afghanistan,2.54,61.80,681.81
Afghanistan,2.54,58.80,681.81
Afghanistan,2.54,53.40,681.81
Afghanistan,2.54,50.50,681.81
Afghanistan,2.54,45.20,681.81
Afghanistan,2.54,39.90,681.81
Afghanistan,2.54,38.60,681.81
Afghanistan,2.54,34.30,681.81
