country,medical_doctors_per_10k,nursing_midwifery_per_10k,dentists_per_10k,pharmacists_per_10k,total_healthcare_workforce_per_10k,maternal_mortality_rate
Afghanistan,2.54,4.52,0.71,0.29,8.06,1910.34
Albania,18.83,58.31,10.33,10.86,98.33,47.70
Algeria,9.87,3.16,1.64,0.51,15.18,255.59
Angola,2.44,12.65,0.05,0.27,15.41,1097.97
"Antigua and Barbuda",28.98,95.77,0.45,1.83,127.03,58.99
Argentina,40.82,43.54,9.65,4.88,98.89,97.93
Armenia,31.17,48.26,4.18,0.26,83.87,54.03
Australia,39.81,137.08,6.21,9.33,192.43,8.02
Austria,55.08,109.28,6.23,7.73,178.32,10.54
Azerbaijan,30.93,57.19,3.15,1.95,93.22,52.84
Bahamas,18.55,43.82,2.48,5.34,70.19,55.60
Bahrain,8.42,23.46,0.95,1.63,34.46,36.98
Bangladesh,6.70,6.13,0.69,1.01,14.53,907.47
Barbados,29.65,31.36,3.15,9.31,73.47,52.67
Belarus,44.70,105.23,5.68,4.34,159.95,42.32
Belize,10.81,23.48,1.70,7.65,43.64,113.78
Benin,1.95,5.95,0.04,0.29,8.23,718.65
Bhutan,5.52,20.47,0.97,0.68,27.64,835.07
Bolivia,12.69,16.05,2.27,2.39,33.40,586.51
"Bosnia and Herzegovina",23.18,63.96,2.57,1.38,91.09,47.44
Botswana,3.78,30.52,0.33,0.48,35.11,228.82
Brazil,21.42,55.13,6.68,3.36,86.59,227.03
Brunei,19.13,67.11,2.38,2.13,90.75,58.39
Bulgaria,48.96,46.59,15.61,8.97,120.13,25.43
"Burkina Faso",1.47,10.26,0.02,0.25,12.00,795.30
Burundi,0.65,7.58,0.01,0.08,8.32,1343.28
Cambodia,2.14,10.25,0.86,0.35,13.60,687.81
Cameroon,1.35,6.50,0.11,0.22,8.18,694.33
Canada,24.97,103.10,6.57,10.41,145.05,6.95
"Cape Verde",44.58,15.87,0.17,0.39,61.01,399.82
Chad,0.85,2.10,0.01,0.09,3.05,1420.00
Chile,31.70,49.68,15.79,6.67,103.84,75.46
China,25.18,35.20,4.52,3.21,68.11,114.47
Colombia,24.51,14.49,8.26,1.85,49.11,129.96
Comoros,4.39,15.74,0.40,0.43,20.96,656.21
"Costa Rica",26.36,60.25,10.69,11.86,109.16,49.59
Croatia,36.10,76.84,13.51,10.61,137.06,12.88
Cyprus,35.52,46.28,8.03,13.30,103.13,38.23
"Czech Republic",42.54,93.56,7.58,7.15,150.83,13.13
Denmark,1.87,106.37,7.15,5.56,120.95,11.47
Djibouti,2.03,6.62,0.19,2.12,10.96,707.17
"Dominican Republic",22.35,20.78,2.52,1.52,47.17,154.10
"DR Congo",1.87,11.91,2.19,0.08,16.05,1171.48
Ecuador,23.08,25.16,3.02,0.42,51.68,238.64
Egypt,6.83,18.27,1.90,4.34,31.34,152.78
"El Salvador",15.52,21.60,1.54,1.24,39.90,210.47
"Equatorial Guinea",1.43,8.35,0.06,0.08,9.92,1302.49
Eritrea,0.71,13.77,0.16,0.54,15.18,1557.64
Estonia,34.38,68.70,10.13,7.13,120.34,49.08
Eswatini,15.91,31.82,0.19,0.41,48.33,484.34
Ethiopia,1.08,7.48,0.02,0.48,9.06,1297.30
Fiji,8.14,38.37,1.17,1.04,48.72,64.91
Finland,43.81,521.64,9.68,20.30,595.43,5.57
France,33.43,93.78,6.96,9.61,143.78,18.32
Gabon,4.77,26.80,0.18,0.70,32.45,450.64
Gambia,1.02,6.75,0.03,0.02,7.82,1202.17
Georgia,56.13,59.80,7.72,0.94,124.59,44.28
Germany,45.18,123.01,8.55,6.72,183.46,10.31
Ghana,1.41,37.89,0.23,0.36,39.89,847.98
Greece,63.67,40.86,13.17,10.93,128.63,7.33
Grenada,13.14,57.47,1.81,6.25,78.67,53.94
Guatemala,12.80,23.08,2.59,1.22,39.69,267.60
Guinea,0.21,3.71,0.03,0.20,4.15,1238.26
Guinea-Bissau,2.08,9.86,0.10,0.01,12.05,1651.92
Guyana,14.05,34.83,0.69,0.59,50.16,275.15
Haiti,2.37,4.02,0.22,0.31,6.92,710.37
Honduras,4.89,7.13,0.32,0.53,12.87,223.55
