Region,Country,Highest_Maternal_Mortality_Rate
Africa,"South Sudan",1222.53
Africa,Chad,1063.49
Africa,Nigeria,1047.24
Africa,Guinea-Bissau,725.09
Africa,Liberia,652.34
"Eastern Mediterranean",Afghanistan,620.41
Africa,Lesotho,566.21
Africa,Guinea,553.40
Africa,"DR Congo",547.36
Africa,Kenya,529.96
Africa,Benin,522.60
Africa,Burundi,494.43
Africa,Mauritania,463.83
Africa,Gambia,458.24
Africa,"Sierra Leone",442.83
Africa,Niger,441.07
Africa,Mali,440.22
Africa,Cameroon,437.75
Africa,Togo,399.04
Africa,Madagascar,391.52
Africa,Malawi,380.67
Africa,Zimbabwe,356.76
Americas,Haiti,350.40
Africa,Eritrea,321.55
Africa,Uganda,284.14
"Eastern Mediterranean",Sudan,270.36
Africa,Ethiopia,266.69
Africa,"Burkina Faso",263.76
Africa,Ghana,263.11
Africa,Senegal,260.88
Africa,Rwanda,258.92
Africa,Eswatini,239.63
Africa,Tanzania,238.30
"Eastern Mediterranean",Djibouti,234.49
Africa,Gabon,226.55
Africa,Angola,221.91
"Western Pacific",Cambodia,217.98
Africa,Comoros,216.95
Africa,Namibia,214.64
Africa,"Equatorial Guinea",212.33
"South-East Asia",Timor-Leste,203.92
"Western Pacific","Papua New Guinea",191.84
Africa,Botswana,185.90
"Eastern Mediterranean",Yemen,183.40
"South-East Asia",Myanmar,178.67
"South-East Asia",Nepal,174.41
"South-East Asia",Indonesia,172.92
Americas,Bolivia,160.91
"Eastern Mediterranean",Pakistan,154.16
Africa,"Sao Tome and Principe",146.24
Africa,Zambia,134.67
Americas,Belize,129.79
Africa,Mozambique,127.11
Africa,"South Africa",126.83
"Western Pacific",Laos,126.06
"Western Pacific",Tonga,125.64
"South-East Asia",Bangladesh,123.03
"Western Pacific","Solomon Islands",122.25
Americas,Guyana,111.94
Americas,"Dominican Republic",107.35
"South-East Asia","North Korea",106.70
"South-East Asia",India,102.65
Americas,Jamaica,98.88
Americas,Suriname,96.46
Americas,Guatemala,95.50
"Western Pacific",Vanuatu,94.44
Africa,Mauritius,84.36
"Western Pacific",Philippines,78.24
Americas,Nicaragua,77.88
Africa,Algeria,77.69
Americas,Bahamas,77.05
"Western Pacific",Kiribati,76.33
"Eastern Mediterranean",Iraq,76.11
Americas,Colombia,74.76
Americas,"Saint Lucia",73.27
Americas,Brazil,72.15
"Eastern Mediterranean",Libya,72.13
"Eastern Mediterranean",Morocco,71.85
Americas,Honduras,71.82
Americas,Paraguay,71.12
Americas,Peru,68.54
Europe,Cyprus,68.41
Americas,Ecuador,65.75
Americas,"Saint Vincent and the Grenadines",61.79
"South-East Asia",Bhutan,59.95
Americas,Mexico,59.13
"Western Pacific",Samoa,59.08
"South-East Asia",Maldives,56.69
Europe,Kyrgyzstan,50.38
Americas,Panama,49.52
Americas,Argentina,44.90
"Western Pacific",Brunei,44.24
Americas,"El Salvador",42.79
Africa,"Cape Verde",42.24
"Eastern Mediterranean",Jordan,41.31
Europe,Azerbaijan,40.76
"Western Pacific",Mongolia,39.49
Americas,Barbados,39.11
"Western Pacific",Fiji,38.05
"Eastern Mediterranean",Tunisia,36.63
Europe,Uzbekistan,30.18
"Eastern Mediterranean",Syria,29.92
"South-East Asia","Sri Lanka",28.84
"South-East Asia",Thailand,28.60
Europe,Georgia,27.61
Europe,Armenia,27.19
Americas,"Trinidad and Tobago",26.58
"Western Pacific",China,23.05
"Eastern Mediterranean",Iran,22.02
Americas,"Costa Rica",22.00
Americas,"Antigua and Barbuda",21.25
Americas,Grenada,21.14
"Western Pacific",Malaysia,21.13
Americas,"United States of America",21.08
"Eastern Mediterranean",Lebanon,20.62
Americas,Uruguay,18.64
Europe,Latvia,18.32
Europe,Turkey,17.33
"Eastern Mediterranean",Oman,17.01
"Eastern Mediterranean",Egypt,16.82
Europe,Tajikistan,16.63
Europe,Ukraine,16.54
"Eastern Mediterranean","Saudi Arabia",16.20
"Eastern Mediterranean",Bahrain,15.90
Europe,Hungary,15.05
Americas,Chile,15.03
Europe,Russia,13.72
Europe,Kazakhstan,13.38
Europe,Moldova,12.26
Europe,Portugal,11.80
Americas,Canada,11.01
Europe,Serbia,10.18
Europe,Romania,10.07
"Eastern Mediterranean","United Arab Emirates",9.34
Europe,Lithuania,8.66
Europe,Finland,8.34
Europe,Albania,8.28
"Western Pacific","South Korea",8.12
Europe,France,7.91
Europe,Greece,7.65
"Eastern Mediterranean",Qatar,7.61
"Western Pacific",Singapore,7.45
"Eastern Mediterranean",Kuwait,7.17
Europe,Bulgaria,7.09
"Western Pacific","New Zealand",7.03
Europe,Luxembourg,6.49
Europe,Montenegro,6.17
Europe,"Bosnia and Herzegovina",5.67
Europe,Austria,5.23
Europe,Estonia,5.18
Europe,Turkmenistan,5.15
Europe,Ireland,4.98
Europe,Slovakia,4.82
Europe,Croatia,4.82
Europe,Denmark,4.66
Europe,Italy,4.59
Europe,Slovenia,4.53
Europe,Germany,4.43
"Western Pacific",Japan,4.31
Europe,Spain,3.44
Europe,"Czech Republic",3.37
Africa,Seychelles,3.33
Europe,"North Macedonia",3.04
"Western Pacific",Australia,2.94
Europe,Malta,2.89
Europe,Iceland,2.65
Europe,Poland,1.96
Europe,Norway,1.66
Europe,Belarus,1.10
